('Bulbasaur', 'Grass', 'Poison', 'Overgrow', 45, 49, 49, 65, 65, 45, 'Seed', 0.7, 6.9),
('Dodrio', 'Normal', 'Flying', 'Run Away', 60, 110, 70, 60, 60, 110, 'Triple Bird', 1.8, 85.2),
('Seel', 'Water', NULL, 'Thick Fat', 65, 45, 55, 45, 70, 45, 'Sea Lion', 1.1, 90.0),
('Dewgong', 'Water', 'Ice', 'Thick Fat', 90, 70, 80, 70, 95, 70, 'Sea Lion', 1.7, 120.0),
('Grimer', 'Poison', NULL, 'Stench', 80, 80, 50, 40, 50, 25, 'Sludge', 0.9, 30.0),
('Muk', 'Poison', NULL, 'Stench', 105, 105, 75, 65, 100, 50, 'Sludge', 1.2, 30.0),
('Shellder', 'Water', NULL, 'Shell Armor', 30, 65, 100, 45, 25, 40, 'Bivalve', 0.3, 4.0),
('Cloyster', 'Water', 'Ice', 'Shell Armor', 50, 95, 180, 85, 45, 70, 'Bivalve', 1.5, 132.5),
('Gastly', 'Ghost', 'Poison', 'Levitate', 30, 35, 30, 100, 35, 80, 'Gas', 1.3, 0.1),
('Haunter', 'Ghost', 'Poison', 'Levitate', 45, 50, 45, 115, 55, 95, 'Gas', 1.6, 0.1),
('Gengar', 'Ghost', 'Poison', 'Cursed Body', 60, 65, 60, 130, 75, 110, 'Shadow', 1.5, 40.5),
('Onix', 'Rock', 'Ground', 'Rock Head', 35, 45, 160, 30, 45, 70, 'Rock Snake', 8.8, 210.0),
('Drowzee', 'Psychic', NULL, 'Insomnia', 60, 48, 45, 43, 90, 42, 'Hypnosis', 1.0, 32.4),
('Hypno', 'Psychic', NULL, 'Insomnia', 85, 73, 70, 73, 115, 67, 'Hypnosis', 1.6, 75.6),
('Krabby', 'Water', NULL, 'Hyper Cutter', 30, 105, 90, 25, 25, 50, 'River Crab', 0.4, 6.5),
('Kingler', 'Water', NULL, 'Hyper Cutter', 55, 130, 115, 50, 50, 75, 'Pincer', 1.3, 60.0),
('Voltorb', 'Electric', NULL, 'Soundproof', 40, 30, 50, 55, 55, 100, 'Ball', 0.5, 10.4),
('Electrode', 'Electric', NULL, 'Soundproof', 60, 50, 70, 80, 80, 150, 'Ball', 1.2, 66.6),
('Exeggcute', 'Grass', 'Psychic', 'Chlorophyll', 60, 40, 80, 60, 45, 40, 'Egg', 0.4, 2.5),
('Exeggutor', 'Grass', 'Psychic', 'Chlorophyll', 95, 95, 85, 125, 75, 55, 'Coconut', 2.0, 120.0),
('Cubone', 'Ground', NULL, 'Rock Head', 50, 50, 95, 40, 50, 35, 'Lonely', 0.4, 6.5),
('Marowak', 'Ground', NULL, 'Rock Head', 60, 80, 110, 50, 80, 45, 'Bone Keeper', 1.0, 45.0),
('Hitmonlee', 'Fighting', NULL, 'Limber', 50, 120, 53, 35, 110, 87, 'Kicking', 1.5, 49.8),
('Hitmonchan', 'Fighting', NULL, 'Keen Eye', 50, 105, 79, 35, 110, 76, 'Punching', 1.4, 50.2),
('Lickitung', 'Normal', NULL, 'Own Tempo', 90, 55, 75, 60, 75, 30, 'Licking', 1.2, 65.5),
('Koffing', 'Poison', NULL, 'Levitate', 40, 65, 95, 60, 45, 35, 'Poison Gas', 0.6, 1.0),
('Weezing', 'Poison', NULL, 'Levitate', 65, 90, 120, 85, 70, 60, 'Poison Gas', 1.2, 9.5),
('Rhyhorn', 'Ground', 'Rock', 'Lightning Rod', 80, 85, 95, 30, 30, 25, 'Spikes', 1.0, 115.0),
('Rhydon', 'Ground', 'Rock', 'Lightning Rod', 105, 130, 120, 45, 45, 40, 'Drill', 1.9, 120.0),
('Chansey', 'Normal', NULL, 'Natural Cure', 250, 5, 5, 35, 105, 50, 'Egg', 1.1, 34.6),
('Tangela', 'Grass', NULL, 'Chlorophyll', 65, 55, 115, 100, 40, 60, 'Vine', 1.0, 35.0),
('Kangaskhan', 'Normal', NULL, 'Early Bird', 105, 95, 80, 40, 80, 90, 'Parent', 2.2, 80.0),
('Horsea', 'Water', NULL, 'Swift Swim', 30, 40, 70, 70, 25, 60, 'Dragon', 0.4, 8.0),
('Seadra', 'Water', NULL, 'Poison Point', 55, 65, 95, 95, 45, 85, 'Dragon', 1.2, 25.0),
('Goldeen', 'Water', NULL, 'Swift Swim', 45, 67, 60, 35, 50, 63, 'Goldfish', 0.6, 15.0),
('Seaking', 'Water', NULL, 'Swift Swim', 80, 92, 65, 65, 80, 68, 'Goldfish', 1.3, 39.0),
('Staryu', 'Water', NULL, 'Illuminate', 30, 45, 55, 70, 55, 85, 'Star Shape', 0.8, 34.5),
('Starmie', 'Water', 'Psychic', 'Illuminate', 60, 75, 85, 100, 85, 115, 'Mysterious', 1.1, 80.0),
('Mr. Mime', 'Psychic', 'Fairy', 'Soundproof', 40, 45, 65, 100, 120, 90, 'Barrier', 1.3, 54.5),
('Scyther', 'Bug', 'Flying', 'Swarm', 70, 110, 80, 55, 80, 105, 'Mantis', 1.5, 56.0),
('Jynx', 'Ice', 'Psychic', 'Oblivious', 65, 50, 35, 115, 95, 95, 'Human Shape', 1.4, 40.6),
('Electabuzz', 'Electric', NULL, 'Static', 65, 83, 57, 95, 85, 105, 'Electric', 1.1, 30.0),
('Magmar', 'Fire', NULL, 'Flame Body', 65, 95, 57, 100, 85, 93, 'Spitfire', 1.3, 44.5),
('Pinsir', 'Bug', NULL, 'Hyper Cutter', 65, 125, 100, 55, 70, 85, 'Stag Beetle', 1.5, 55.0),
('Tauros', 'Normal', NULL, 'Intimidate', 75, 100, 95, 40, 70, 110, 'Wild Bull', 1.4, 88.4),
('Magikarp', 'Water', NULL, 'Swift Swim', 20, 10, 55, 15, 20, 80, 'Fish', 0.9, 10.0),
('Gyarados', 'Water', 'Flying', 'Intimidate', 95, 125, 79, 60, 100, 81, 'Atrocious', 6.5, 235.0),
('Lapras', 'Water', 'Ice', 'Water Absorb', 130, 85, 80, 85, 95, 60, 'Transport', 2.5, 220.0),
('Ditto', 'Normal', NULL, 'Limber', 48, 48, 48, 48, 48, 48, 'Transform', 0.3, 4.0),
('Eevee', 'Normal', NULL, 'Run Away', 55, 55, 50, 45, 65, 55, 'Evolution', 0.3, 6.5),
('Vaporeon', 'Water', NULL, 'Water Absorb', 130, 65, 60, 110, 95, 65, 'Bubble Jet', 1.0, 29.0),
('Jolteon', 'Electric', NULL, 'Volt Absorb', 65, 65, 60, 110, 95, 130, 'Lightning', 0.8, 24.5),
('Flareon', 'Fire', NULL, 'Flash Fire', 65, 130, 60, 95, 110, 65, 'Flame', 0.9, 25.0),
('Porygon', 'Normal', NULL, 'Trace', 65, 60, 70, 85, 75, 40, 'Virtual', 0.8, 36.5),
('Omanyte', 'Rock', 'Water', 'Swift Swim', 35, 40, 100, 90, 55, 35, 'Spiral', 0.4, 7.5),
('Omastar', 'Rock', 'Water', 'Swift Swim', 70, 60, 125, 115, 70, 55, 'Spiral', 1.0, 35.0),
('Kabuto', 'Rock', 'Water', 'Swift Swim', 30, 80, 90, 55, 45, 55, 'Shellfish', 0.5, 11.5),
('Kabutops', 'Rock', 'Water', 'Swift Swim', 60, 115, 105, 65, 70, 80, 'Shellfish', 1.3, 40.5),
('Aerodactyl', 'Rock', 'Flying', 'Rock Head', 80, 105, 65, 60, 75, 130, 'Fossil', 1.8, 59.0),
('Snorlax', 'Normal', NULL, 'Immunity', 160, 110, 65, 65, 110, 30, 'Sleeping', 2.1, 460.0),
('Articuno', 'Ice', 'Flying', 'Pressure', 90, 85, 100, 95, 125, 85, 'Freeze', 1.7, 55.4),
('Zapdos', 'Electric', 'Flying', 'Pressure', 90, 90, 85, 125, 90, 100, 'Electric', 1.6, 52.6),
('Moltres', 'Fire', 'Flying', 'Pressure', 90, 100, 90, 125, 85, 90, 'Flame', 2.0, 60.0),
('Dratini', 'Dragon', NULL, 'Shed Skin', 41, 64, 45, 50, 50, 50, 'Dragon', 1.8, 3.3),
('Dragonair', 'Dragon', NULL, 'Shed Skin', 61, 84, 65, 70, 70, 70, 'Dragon', 4.0, 16.5),
('Dragonite', 'Dragon', 'Flying', 'Inner Focus', 91, 134, 95, 100, 100, 80, 'Dragon', 2.2, 210.0),
('Mewtwo', 'Psychic', NULL, 'Pressure', 106, 110, 90, 154, 90, 130, 'Genetic', 2.0, 122.0),
('Mew', 'Psychic', NULL, 'Synchronize', 100, 100, 100, 100, 100, 100, 'New Species', 0.4, 4.0),
